iter	Passed	Remaining
0	175	1753367
1	309	1548169
2	461	1539273
3	702	1756410
4	853	1706909
5	1000	1666538
6	1154	1647631
7	1299	1623148
8	1446	1606107
9	1576	1575203
10	1756	1594889
11	1897	1579297
12	2037	1565326
13	2162	1542204
14	2305	1534916
15	2468	1540495
16	2613	1534723
17	2784	1544133
18	2934	1541524
19	3069	1531667
20	3301	1568695
21	3301	1568695
22	3484	1580436
23	3692	1601680
24	3825	1590036
25	3980	1588010
26	4135	1586267
27	4315	1593914
28	4467	1591073
29	4603	1582515
30	4762	1582579
31	4913	1579927
32	5044	1571235
33	5218	1575875
34	5364	1572134
35	5505	1567326
36	5649	1563553
37	5791	1559383
38	5986	1569343
39	6144	1569119
40	6288	1565615
41	6418	1558842
42	6557	1554532
43	6720	1556075
44	6892	1559315
45	7028	1554645
46	7170	1551500
47	7324	1550890
48	7464	1547457
49	7614	1546266
50	7754	1543070
51	7927	1546396
52	8064	1542586
53	8199	1538646
54	8327	1533683
55	8472	1531865
56	8608	1528482
57	8790	1533206
58	8940	1532327
59	9067	1527631
60	9210	1525669
61	9210	1525669
62	9626	1568135
63	9792	1569272
64	9959	1570637
65	10127	1571946
66	10278	1570718
67	10417	1567653
68	10548	1563485
69	10672	1558537
70	10835	1559267
71	10985	1558032
72	11123	1555198
73	11270	1553762
74	11401	1550110
75	11539	1547533
76	11682	1545719
77	11826	1543935
78	11963	1541368
79	12099	1538746
80	12233	1536008
81	12379	1534728
82	12540	1535419
83	12670	1532183
84	12796	1528651
85	12930	1526092
86	13067	1523995
87	13199	1521315
88	13333	1518979
89	13456	1515374
90	13597	1513893
91	13731	1511708
92	13862	1509162
93	13993	1506775
94	14130	1505021
95	14255	1501973
96	14385	1499587
97	14556	1501474
98	14695	1499988
99	14827	1497891
100	14965	1496354
101	15085	1493145
102	15234	1492830
103	15351	1489426
104	15529	1491888
105	15664	1490233
106	15803	1488978
107	15933	1486939
108	16473	1522757
109	18183	1665136
110	20274	1839354
111	21730	1953332
112	22998	2048487
113	22998	2048487
114	23280	2054751
115	23565	2061274
116	23724	2056730
117	23865	2050793
118	24034	2047308
119	24177	2041628
120	24645	2063341
121	24962	2072136
122	25769	2121060
123	26413	2155864
124	26629	2155472
125	26758	2148062
126	26884	2140604
127	27039	2135435
128	27205	2131292
129	27412	2130425
130	27681	2134282
131	27952	2138225
132	28127	2134904
133	28339	2134350
134	28493	2129481
135	29219	2167078
136	29379	2162495
137	29541	2158073
138	29703	2153705
139	29818	2146070
140	30012	2144150
141	30161	2139078
142	30305	2133739
143	30422	2126581
144	30550	2120238
145	30723	2117154
146	30856	2111283
147	30982	2105087
148	31131	2100511
149	31279	2095967
150	31395	2089307
151	31512	2082780
152	31639	2077035
153	31781	2072350
154	31915	2067153
155	32032	2060934
156	32163	2055729
157	32322	2052352
158	32455	2047412
159	32609	2043835
160	32763	2040275
161	32897	2035481
162	33029	2030704
163	33165	2026168
164	33294	2021294
165	33413	2015896
166	33570	2012805
167	33715	2009015
168	33841	2004171
169	33963	1999166
170	34084	1994163
171	34216	1989825
172	34340	1985075
173	34484	1981562
174	34623	1977744
175	34751	1973423
176	34924	1971637
177	35048	1967150
178	35197	1964074
179	35347	1961098
180	35497	1958147
181	35641	1954885
182	35830	1954154
183	35977	1951127
184	36130	1948441
185	36281	1945731
186	36413	1942000
187	36538	1937922
188	36667	1934117
189	36806	1930875
190	36929	1926828
191	37054	1922921
192	37172	1918701
193	37288	1914424
194	37408	1910371
195	37524	1906151
196	37652	1902624
197	37783	1899274
198	37918	1896135
199	38036	1892183
200	38156	1888343
201	38272	1884387
202	38396	1880832
203	38531	1877865
204	38655	1874390
205	38779	1870986
206	38896	1867213
207	39020	1863845
208	39143	1860445
209	39261	1856862
210	39424	1855437
211	39568	1853080
212	39714	1850883
213	39833	1847459
214	39961	1844439
215	40081	1841092
216	40197	1837631
217	40314	1834221
218	40433	1830905
219	40549	1827537
220	40683	1824963
221	40801	1821700
222	40919	1818497
223	41057	1816192
224	41187	1813565
225	41305	1810398
226	41425	1807369
227	41558	1804936
228	41704	1803085
229	41852	1801330
230	42007	1799894
231	42130	1797080
232	42265	1794815
233	42400	1792556
234	42543	1790673
235	42670	1788123
236	42791	1785352
237	42918	1782832
238	43065	1781175
239	43188	1778584
240	43346	1777383
241	43466	1774668
242	43584	1771884
243	43702	1769124
244	43820	1766401
245	43947	1764056
246	44116	1763389
247	44234	1760730
248	44356	1758200
249	44471	1755448
250	44594	1753023
251	44804	1754043
252	44936	1751992
253	45056	1749468
254	45174	1746932
255	45306	1744938
256	45424	1742400
257	45546	1740071
258	45669	1737756
259	45786	1735236
260	45901	1732678
261	46020	1730289
262	46138	1727898
263	46253	1725392
264	46371	1723015
